,video_id,commenter_channel_url,commenter_channel_id,commenter_channel_display_name,comment_id,comment_like_count,comment_publish_date,text,commenter_rating,comment_parent_id,collection_date,reply_count
1321,,http://www.youtube.com/channel/UCKexPzIpGjE3ynXtbqWVs0A,UCKexPzIpGjE3ynXtbqWVs0A,Koray Birand,UgwX-7uHmdgMF8GOuxp4AaABAg.99nikPbzHki99ocAG39TrL,1,1591976637.0,Red denilen kamerada super 35 yani hallice bir apsc.. kaba her fullframe apac den iyi diye birşey yok.. Arkada kullandığı color sciene. Bayering daha onemli,none,UgwX-7uHmdgMF8GOuxp4AaABAg,2020-07-05 20:11:37.637531,
1322,,http://www.youtube.com/channel/UC9DpoCI2eLYDmNXaZF_x9_Q,UC9DpoCI2eLYDmNXaZF_x9_Q,Efe Şimşek,UgyHtyo4ehIkdvJYIxZ4AaABAg.99ni4lrC7fH99ni8vQVS1Q,0,1591946217.0,Ayrıca daha fazla vlog gelmesi çok güzel olacaktır,none,UgyHtyo4ehIkdvJYIxZ4AaABAg,2020-07-05 20:11:37.844923,
1323,,http://www.youtube.com/channel/UCFdk8ga6fGoT2t5uDknz8kg,UCFdk8ga6fGoT2t5uDknz8kg,Gulsun Arslan,Ugx8wNWhi0t8ENbBm5V4AaABAg.99ngysooXyR99rgRyumIKX,0,1592079543.0,@Koray Birand fayfalı bir şey yapmak isterken sanırım yanlış anlattım abi kusura bakma. Bizim senin videon için beğene basmamız ve altına yorum yazmamız senin videon için faydalı. Daha çok insana ulaşıyormuş. O sebeple bir nokta bile olsa yorum yapın diyorlar. Ben de sana destek olmak için anlamsız da olsa birşey yazmak istemiştim. Sen zaten neden beğene bastığını videolarında söylüyorsun ayrıca senin bizim yorumlarımıza değer verip yorum yapman  çok büyük birşey bizim için en azından benim için...,none,Ugx8wNWhi0t8ENbBm5V4AaABAg,2020-07-05 20:11:38.047475,
1324,,http://www.youtube.com/channel/UCKexPzIpGjE3ynXtbqWVs0A,UCKexPzIpGjE3ynXtbqWVs0A,Koray Birand,Ugx8wNWhi0t8ENbBm5V4AaABAg.99ngysooXyR99rbz44LBOZ,0,1592077200.0,Ben bunun icin yapmiyorum aslinda. Video atip unutmak kolayi ama videolari yapmakla bitmiyor is. Sonrasinda olan sorularula cevap vermek bence videodan daha da onemli. Ayrica insanlarin yazdigi yorumlari okudugumu bilmesi onemli saygidan kalp basiyorum.,none,Ugx8wNWhi0t8ENbBm5V4AaABAg,2020-07-05 20:11:38.047475,
1325,,http://www.youtube.com/channel/UCFdk8ga6fGoT2t5uDknz8kg,UCFdk8ga6fGoT2t5uDknz8kg,Gulsun Arslan,Ugx8wNWhi0t8ENbBm5V4AaABAg.99ngysooXyR99njof1Sqyo,0,1591947092.0,@Koray Birand videonun altında yorum olması ve beğene basmak  video için faydalı kanalın ve video için.  Daha çok  kişinin anasayfasına  düşüyor sanırım ben de yazacak yorumum olmadığından öyle birşey yazdıydım ☹ Maksat yorum olsun 😅,none,Ugx8wNWhi0t8ENbBm5V4AaABAg,2020-07-05 20:11:38.047475,
1326,,http://www.youtube.com/channel/UCKexPzIpGjE3ynXtbqWVs0A,UCKexPzIpGjE3ynXtbqWVs0A,Koray Birand,Ugx8wNWhi0t8ENbBm5V4AaABAg.99ngysooXyR99ni1GsUlXX,0,1591946155.0,Anlamadım ?,none,Ugx8wNWhi0t8ENbBm5V4AaABAg,2020-07-05 20:11:38.047475,
1327,,http://www.youtube.com/channel/UCKexPzIpGjE3ynXtbqWVs0A,UCKexPzIpGjE3ynXtbqWVs0A,Koray Birand,UgzoeZ-Qs5zt5b98eAx4AaABAg.99nglZhCf6j99ni6SZbAIR,1,1591946197.0,Lira ile çalışmıyorum. Arap Riyali kabul ediyorum,none,UgzoeZ-Qs5zt5b98eAx4AaABAg,2020-07-05 20:11:38.234014,
1328,,http://www.youtube.com/channel/UCKexPzIpGjE3ynXtbqWVs0A,UCKexPzIpGjE3ynXtbqWVs0A,Koray Birand,UgxSFo2JJADQ88Awx2d4AaABAg.99ngZJvE6Ba99ngrYs-kFp,0,1591945543.0,Çok isterseniz dummy pil var ama anlıyorum sizi,none,UgxSFo2JJADQ88Awx2d4AaABAg,2020-07-05 20:11:38.430021,
1329,,http://www.youtube.com/channel/UCggM5ALIr6hOXgtBS7amO-A,UCggM5ALIr6hOXgtBS7amO-A,Berkan Küçükgül,UgzIs6fO78I5Rczf7g94AaABAg.99ngUBZwkpd99nlJXenfcE,0,1591947877.0,"​@cenk arman Çarpanla birlikte doğru 24-70 odak mesafesine geliyor ama standartlaşmış bir lens gibi geldiği için bana o hissi vermiyor olabilir. Tabi 16-50mm ile 24-70mm APS-C performans karşılaştırmalarını görmek gerek. Web ortamında istisnai durumlar haricinde farkın bir anlamı olmasa da baskıda işler değişiyor optik kalite farkından.
Not: 16-50 kit lensmiş 16-55 f2.8 var imiş şimdi bakınca gördüm. Onda da OIS yok.",none,UgzIs6fO78I5Rczf7g94AaABAg,2020-07-05 20:11:38.612514,
1330,,http://www.youtube.com/channel/UC8pKip48VL2jVPBT16LDnsw,UC8pKip48VL2jVPBT16LDnsw,cenk arman,UgzIs6fO78I5Rczf7g94AaABAg.99ngUBZwkpd99njSQKviVW,1,1591946901.0,"Ya aslında 16-50 f/2,8 var ve hiç altta kalır yanı yok. Lens çeşitliliğinin olmaması bir handikap ama gerçekten ihtiyacım olupta bulamadığım bir lens aralığı olmadı",none,UgzIs6fO78I5Rczf7g94AaABAg,2020-07-05 20:11:38.612514,
